image_id,filename,coordinateX,coordinateY,Tumor,Scanner,Origin,Species,expert1,expert2,expert3,majority
27.png,202.tiff,4241,1607,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
28.png,202.tiff,595,3240,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
29.png,202.tiff,3012,3092,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
30.png,202.tiff,265,4410,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
31.png,202.tiff,1006,4448,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
32.png,202.tiff,2216,3901,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
33.png,202.tiff,203,4569,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
34.png,202.tiff,1195,2417,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
35.png,203.tiff,2055,45,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
36.png,203.tiff,2023,219,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
37.png,203.tiff,5315,373,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
38.png,203.tiff,1600,2398,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
39.png,203.tiff,3401,2647,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
40.png,203.tiff,3303,2000,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
41.png,203.tiff,789,3432,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
42.png,203.tiff,2638,3495,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
43.png,203.tiff,2939,2739,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
44.png,203.tiff,3403,2843,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
45.png,203.tiff,3978,3469,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
46.png,203.tiff,4476,3381,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
47.png,203.tiff,1022,3789,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
48.png,203.tiff,4419,3774,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
49.png,203.tiff,4903,4367,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
50.png,203.tiff,1353,4628,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
51.png,203.tiff,4520,3655,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
52.png,203.tiff,246,4102,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
53.png,203.tiff,4004,4510,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
54.png,203.tiff,1430,1392,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
55.png,204.tiff,1654,510,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
56.png,204.tiff,2641,832,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
57.png,204.tiff,5267,970,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
58.png,204.tiff,3453,1525,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
59.png,204.tiff,3439,1350,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
60.png,204.tiff,3755,1009,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
61.png,204.tiff,4073,1004,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
62.png,204.tiff,3029,1354,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
63.png,204.tiff,5373,1531,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
64.png,204.tiff,1671,2119,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
65.png,204.tiff,1579,2716,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
66.png,204.tiff,4886,1986,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
67.png,204.tiff,4748,2280,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
68.png,204.tiff,292,3576,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
69.png,204.tiff,54,3205,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
70.png,204.tiff,3507,3219,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
71.png,204.tiff,5872,3378,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
72.png,204.tiff,6482,3210,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
73.png,204.tiff,2352,4430,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
74.png,204.tiff,4347,3934,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
75.png,204.tiff,4529,4217,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
76.png,205.tiff,4674,25,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
77.png,205.tiff,4992,1720,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
78.png,205.tiff,1601,2279,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
79.png,205.tiff,2141,1977,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
80.png,205.tiff,5015,1982,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
81.png,205.tiff,4722,2316,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
82.png,205.tiff,341,3165,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
83.png,205.tiff,2607,3066,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
84.png,205.tiff,3787,2836,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
85.png,205.tiff,4758,2959,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF
86.png,205.tiff,4865,3072,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
87.png,205.tiff,4576,2903,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
88.png,205.tiff,5798,3604,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
89.png,205.tiff,974,3930,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
90.png,205.tiff,997,3972,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
91.png,205.tiff,531,4264,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
92.png,205.tiff,2101,3794,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,AMF,AMF
93.png,205.tiff,2681,4106,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
94.png,205.tiff,3153,3939,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
95.png,205.tiff,3403,4366,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
96.png,205.tiff,6249,3733,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
97.png,205.tiff,6562,4276,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
98.png,205.tiff,1214,4880,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF
99.png,205.tiff,4418,4890,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
100.png,206.tiff,372,122,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
101.png,206.tiff,4260,909,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
102.png,206.tiff,4307,43,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
103.png,206.tiff,4648,798,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
104.png,206.tiff,4116,2960,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
105.png,206.tiff,5102,2754,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
106.png,206.tiff,58,4869,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF
107.png,206.tiff,2543,3196,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
108.png,206.tiff,916,4439,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
109.png,206.tiff,4300,4353,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
110.png,206.tiff,3271,3242,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
111.png,206.tiff,3116,3759,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
112.png,206.tiff,1051,1853,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
113.png,206.tiff,1323,3643,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
114.png,206.tiff,4157,2324,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
115.png,207.tiff,2128,2754,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
116.png,207.tiff,5232,2255,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
117.png,207.tiff,4578,4495,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
118.png,208.tiff,4103,1054,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
119.png,208.tiff,4106,1948,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
120.png,208.tiff,3725,2480,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
121.png,208.tiff,4402,2362,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
122.png,208.tiff,4263,3608,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
123.png,208.tiff,4652,3904,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
124.png,208.tiff,4177,4358,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
125.png,208.tiff,5388,1948,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
126.png,208.tiff,2913,1997,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
127.png,208.tiff,3762,4160,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
128.png,208.tiff,4954,3998,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
129.png,208.tiff,3694,1285,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
130.png,209.tiff,4356,188,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
131.png,209.tiff,2330,2051,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
132.png,209.tiff,3320,1991,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
133.png,209.tiff,1593,3339,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
134.png,209.tiff,5009,3495,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
135.png,209.tiff,4900,3517,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF
136.png,209.tiff,4411,4558,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
137.png,209.tiff,1249,2533,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
138.png,209.tiff,980,4328,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
139.png,209.tiff,1896,2479,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
140.png,209.tiff,2745,1747,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
141.png,209.tiff,1168,2827,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
142.png,209.tiff,3652,4291,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
143.png,209.tiff,3003,1707,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
144.png,209.tiff,1413,4460,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
145.png,209.tiff,509,2854,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
146.png,209.tiff,1150,2316,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
147.png,209.tiff,2248,4371,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
148.png,209.tiff,1165,2775,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
149.png,209.tiff,5859,3077,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
150.png,212.tiff,844,817,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
151.png,212.tiff,576,306,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
152.png,212.tiff,1186,26,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
153.png,212.tiff,4604,265,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
154.png,212.tiff,5538,613,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
155.png,212.tiff,6101,748,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
156.png,212.tiff,185,919,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
157.png,212.tiff,5293,1412,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
158.png,212.tiff,1844,2488,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
159.png,212.tiff,2527,2476,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
160.png,212.tiff,3452,1946,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
161.png,212.tiff,1143,3005,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
162.png,212.tiff,1027,3096,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
163.png,212.tiff,1377,2851,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
164.png,212.tiff,2374,3301,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
165.png,212.tiff,2707,2834,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
166.png,212.tiff,3594,3225,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
167.png,212.tiff,5559,3189,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
168.png,212.tiff,1124,4057,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
169.png,212.tiff,2925,4483,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
170.png,212.tiff,2521,3887,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
171.png,212.tiff,3424,3610,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
172.png,212.tiff,4436,4059,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
173.png,212.tiff,6213,4162,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
174.png,212.tiff,6516,3916,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
175.png,212.tiff,6282,3851,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
176.png,213.tiff,3558,1815,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
177.png,213.tiff,2975,1533,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
178.png,213.tiff,4900,1436,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
179.png,213.tiff,4884,2191,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
180.png,213.tiff,5829,2019,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
181.png,213.tiff,5827,1959,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
182.png,213.tiff,5416,3154,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
183.png,213.tiff,1936,3785,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
184.png,213.tiff,1904,4731,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
185.png,213.tiff,2428,4579,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
186.png,214.tiff,1968,455,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF
187.png,214.tiff,3614,115,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF
188.png,214.tiff,346,1033,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
189.png,214.tiff,1852,1401,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
190.png,214.tiff,6028,1034,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
191.png,214.tiff,4139,2534,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
192.png,214.tiff,5918,2073,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
193.png,214.tiff,3745,3045,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
194.png,214.tiff,4096,3304,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
195.png,214.tiff,6427,3011,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
196.png,214.tiff,2096,4213,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
197.png,214.tiff,978,4845,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
198.png,214.tiff,3246,4829,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
199.png,214.tiff,3454,4815,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
200.png,214.tiff,6062,4576,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
201.png,216.tiff,3746,2196,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF
202.png,216.tiff,1311,3570,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
203.png,216.tiff,3935,3080,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
204.png,216.tiff,1804,3868,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
205.png,216.tiff,3541,69,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
206.png,216.tiff,3883,2336,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
207.png,216.tiff,405,1094,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
208.png,216.tiff,5846,948,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
209.png,217.tiff,970,161,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
210.png,217.tiff,4274,507,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
211.png,217.tiff,2980,1045,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
212.png,217.tiff,331,3219,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
213.png,217.tiff,3629,3289,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
214.png,217.tiff,5527,3025,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
215.png,217.tiff,4506,2757,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
216.png,217.tiff,5833,3556,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF
217.png,217.tiff,979,3928,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
218.png,218.tiff,2211,130,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
219.png,218.tiff,3016,383,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
220.png,218.tiff,5014,312,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
221.png,218.tiff,4475,81,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
222.png,218.tiff,6133,97,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
223.png,218.tiff,6076,391,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
224.png,218.tiff,5995,468,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
225.png,218.tiff,4284,1492,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
226.png,218.tiff,4723,1658,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
227.png,218.tiff,5425,1012,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
228.png,218.tiff,6351,1602,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
229.png,218.tiff,2507,2421,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
230.png,218.tiff,2492,2513,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
231.png,218.tiff,2937,2339,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
232.png,218.tiff,3909,2289,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
233.png,218.tiff,4854,2553,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
234.png,218.tiff,5221,2256,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
235.png,218.tiff,5125,2105,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
236.png,218.tiff,6100,2467,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
237.png,218.tiff,3534,3783,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
238.png,218.tiff,5383,4037,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
239.png,218.tiff,6401,4427,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,AMF,AMF
240.png,218.tiff,2464,4873,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
241.png,218.tiff,4490,4680,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
242.png,218.tiff,6004,2371,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
243.png,218.tiff,5386,3867,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
244.png,218.tiff,216,3288,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
245.png,218.tiff,1354,4575,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
246.png,218.tiff,1636,3138,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
247.png,218.tiff,5669,3384,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
248.png,220.tiff,1520,1102,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
249.png,220.tiff,1239,798,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
250.png,220.tiff,876,839,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF
251.png,220.tiff,2973,970,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF
