image_id_for_processing,image_path,skip_reason,image_id,filename,coordinateX,coordinateY,Tumor,Scanner,Origin,Species,expert1,expert2,expert3,majority,source_csv_image_id
1971.png,,csv_image_not_present_in_images_dir,1971.png,269.tiff,5247.0,44.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1971.png
1972.png,,csv_image_not_present_in_images_dir,1972.png,269.tiff,5912.0,45.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,1972.png
2016.png,,csv_image_not_present_in_images_dir,2016.png,270.tiff,820.0,19.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2016.png
2043.png,,csv_image_not_present_in_images_dir,2043.png,270.tiff,6528.0,983.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2043.png
2070.png,,csv_image_not_present_in_images_dir,2070.png,270.tiff,6531.0,3051.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2070.png
2102.png,,csv_image_not_present_in_images_dir,2102.png,270.tiff,13.0,1788.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2102.png
2107.png,,csv_image_not_present_in_images_dir,2107.png,271.tiff,15.0,167.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2107.png
2131.png,,csv_image_not_present_in_images_dir,2131.png,271.tiff,23.0,1737.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2131.png
2132.png,,csv_image_not_present_in_images_dir,2132.png,271.tiff,12.0,1575.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2132.png
2151.png,,csv_image_not_present_in_images_dir,2151.png,271.tiff,6548.0,1285.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2151.png
2170.png,,csv_image_not_present_in_images_dir,2170.png,271.tiff,37.0,2782.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,2170.png
2202.png,,csv_image_not_present_in_images_dir,2202.png,271.tiff,6539.0,4154.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,2202.png
2205.png,,csv_image_not_present_in_images_dir,2205.png,271.tiff,5764.0,4899.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2205.png
2210.png,,csv_image_not_present_in_images_dir,2210.png,271.tiff,6534.0,984.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2210.png
2229.png,,csv_image_not_present_in_images_dir,2229.png,272.tiff,4157.0,57.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2229.png
2232.png,,csv_image_not_present_in_images_dir,2232.png,272.tiff,5252.0,25.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2232.png
2265.png,,csv_image_not_present_in_images_dir,2265.png,272.tiff,6554.0,1749.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2265.png
2272.png,,csv_image_not_present_in_images_dir,2272.png,272.tiff,55.0,2059.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2272.png
2304.png,,csv_image_not_present_in_images_dir,2304.png,272.tiff,6539.0,1966.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,2304.png
2347.png,,csv_image_not_present_in_images_dir,2347.png,272.tiff,6574.0,3615.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2347.png
2350.png,,csv_image_not_present_in_images_dir,2350.png,272.tiff,688.0,4924.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2350.png
2405.png,,csv_image_not_present_in_images_dir,2405.png,273.tiff,20.0,3112.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2405.png
2422.png,,csv_image_not_present_in_images_dir,2422.png,273.tiff,4731.0,56.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2422.png
2444.png,,csv_image_not_present_in_images_dir,2444.png,275.tiff,52.0,3312.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2444.png
2455.png,,csv_image_not_present_in_images_dir,2455.png,275.tiff,24.0,1833.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2455.png
2505.png,,csv_image_not_present_in_images_dir,2505.png,277.tiff,2066.0,4883.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2505.png
2509.png,,csv_image_not_present_in_images_dir,2509.png,277.tiff,3214.0,4873.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2509.png
2530.png,,csv_image_not_present_in_images_dir,2530.png,280.tiff,1821.0,24.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,2530.png
2540.png,,csv_image_not_present_in_images_dir,2540.png,280.tiff,4514.0,18.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2540.png
2555.png,,csv_image_not_present_in_images_dir,2555.png,280.tiff,6540.0,1328.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2555.png
2556.png,,csv_image_not_present_in_images_dir,2556.png,280.tiff,27.0,2547.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2556.png
2588.png,,csv_image_not_present_in_images_dir,2588.png,280.tiff,44.0,3724.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,2588.png
2606.png,,csv_image_not_present_in_images_dir,2606.png,280.tiff,376.0,4876.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2606.png
2653.png,,csv_image_not_present_in_images_dir,2653.png,281.tiff,4277.0,4911.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2653.png
2695.png,,csv_image_not_present_in_images_dir,2695.png,282.tiff,3426.0,4872.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2695.png
2697.png,,csv_image_not_present_in_images_dir,2697.png,282.tiff,16.0,3850.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2697.png
2707.png,,csv_image_not_present_in_images_dir,2707.png,283.tiff,1188.0,50.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2707.png
2736.png,,csv_image_not_present_in_images_dir,2736.png,283.tiff,6539.0,360.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2736.png
2814.png,,csv_image_not_present_in_images_dir,2814.png,283.tiff,6562.0,3970.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2814.png
2815.png,,csv_image_not_present_in_images_dir,2815.png,283.tiff,1023.0,4901.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,2815.png
2817.png,,csv_image_not_present_in_images_dir,2817.png,283.tiff,1668.0,4910.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2817.png
2824.png,,csv_image_not_present_in_images_dir,2824.png,283.tiff,2917.0,4896.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2824.png
2841.png,,csv_image_not_present_in_images_dir,2841.png,284.tiff,2044.0,55.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2841.png
2843.png,,csv_image_not_present_in_images_dir,2843.png,284.tiff,2430.0,16.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2843.png
2869.png,,csv_image_not_present_in_images_dir,2869.png,284.tiff,6529.0,1805.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2869.png
2908.png,,csv_image_not_present_in_images_dir,2908.png,285.tiff,43.0,238.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2908.png
2987.png,,csv_image_not_present_in_images_dir,2987.png,286.tiff,4171.0,33.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2987.png
2989.png,,csv_image_not_present_in_images_dir,2989.png,286.tiff,4645.0,37.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2989.png
2993.png,,csv_image_not_present_in_images_dir,2993.png,286.tiff,6529.0,789.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,2993.png
3041.png,,csv_image_not_present_in_images_dir,3041.png,286.tiff,3288.0,4882.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,3041.png
3053.png,,csv_image_not_present_in_images_dir,3053.png,287.tiff,5734.0,44.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3053.png
3121.png,,csv_image_not_present_in_images_dir,3121.png,289.tiff,2630.0,4914.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3121.png
3158.png,,csv_image_not_present_in_images_dir,3158.png,291.tiff,6560.0,1358.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3158.png
3208.png,,csv_image_not_present_in_images_dir,3208.png,291.tiff,6549.0,4721.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3208.png
3209.png,,csv_image_not_present_in_images_dir,3209.png,291.tiff,52.0,649.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3209.png
3214.png,,csv_image_not_present_in_images_dir,3214.png,292.tiff,2036.0,36.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3214.png
3219.png,,csv_image_not_present_in_images_dir,3219.png,292.tiff,4633.0,28.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3219.png
3225.png,,csv_image_not_present_in_images_dir,3225.png,292.tiff,6473.0,41.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3225.png
3242.png,,csv_image_not_present_in_images_dir,3242.png,292.tiff,16.0,2277.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3242.png
3255.png,,csv_image_not_present_in_images_dir,3255.png,292.tiff,6535.0,2605.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3255.png
3258.png,,csv_image_not_present_in_images_dir,3258.png,292.tiff,31.0,3394.0,canine lymphoma,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,3258.png
3312.png,,csv_image_not_present_in_images_dir,3312.png,294.tiff,40.0,1249.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3312.png
3351.png,,csv_image_not_present_in_images_dir,3351.png,295.tiff,3625.0,13.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3351.png
3432.png,,csv_image_not_present_in_images_dir,3432.png,295.tiff,532.0,4922.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3432.png
3446.png,,csv_image_not_present_in_images_dir,3446.png,297.tiff,6561.0,425.0,canine lymphoma,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,3446.png
3477.png,,csv_image_not_present_in_images_dir,3477.png,297.tiff,6083.0,4888.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3477.png
3482.png,,csv_image_not_present_in_images_dir,3482.png,298.tiff,9.0,541.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3482.png
3496.png,,csv_image_not_present_in_images_dir,3496.png,298.tiff,6515.0,961.0,canine lymphoma,3D Histech,VMU Vienna,Canine,AMF,NMF,AMF,AMF,3496.png
3551.png,,csv_image_not_present_in_images_dir,3551.png,299.tiff,740.0,50.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3551.png
3561.png,,csv_image_not_present_in_images_dir,3561.png,299.tiff,2795.0,35.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3561.png
3564.png,,csv_image_not_present_in_images_dir,3564.png,299.tiff,3734.0,55.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3564.png
3639.png,,csv_image_not_present_in_images_dir,3639.png,299.tiff,3656.0,4906.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3639.png
3641.png,,csv_image_not_present_in_images_dir,3641.png,299.tiff,24.0,3438.0,canine lymphoma,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,3641.png
3689.png,,csv_image_not_present_in_images_dir,3689.png,300.tiff,975.0,4775.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,3689.png
3691.png,,csv_image_not_present_in_images_dir,3691.png,300.tiff,42.0,4446.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,3691.png
3692.png,,csv_image_not_present_in_images_dir,3692.png,300.tiff,30.0,4732.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,AMF,AMF,,AMF,3692.png
3693.png,,csv_image_not_present_in_images_dir,3693.png,300.tiff,191.0,4831.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,3693.png
3727.png,,csv_image_not_present_in_images_dir,3727.png,300.tiff,1662.0,16.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,3727.png
3728.png,,csv_image_not_present_in_images_dir,3728.png,300.tiff,1708.0,22.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,AMF,NMF,NMF,NMF,3728.png
3768.png,,csv_image_not_present_in_images_dir,3768.png,300.tiff,3420.0,4786.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,3768.png
3857.png,,csv_image_not_present_in_images_dir,3857.png,301.tiff,4544.0,26.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,3857.png
3871.png,,csv_image_not_present_in_images_dir,3871.png,301.tiff,6000.0,9.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,AMF,NMF,NMF,3871.png
3969.png,,csv_image_not_present_in_images_dir,3969.png,301.tiff,6391.0,2433.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,3969.png
4037.png,,csv_image_not_present_in_images_dir,4037.png,301.tiff,6404.0,4186.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4037.png
4039.png,,csv_image_not_present_in_images_dir,4039.png,301.tiff,5878.0,4812.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4039.png
4050.png,,csv_image_not_present_in_images_dir,4050.png,303.tiff,155.0,19.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4050.png
4051.png,,csv_image_not_present_in_images_dir,4051.png,303.tiff,238.0,20.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4051.png
4054.png,,csv_image_not_present_in_images_dir,4054.png,303.tiff,380.0,61.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4054.png
4056.png,,csv_image_not_present_in_images_dir,4056.png,303.tiff,1216.0,59.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,AMF,NMF,NMF,4056.png
4175.png,,csv_image_not_present_in_images_dir,4175.png,303.tiff,6445.0,4357.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4175.png
4186.png,,csv_image_not_present_in_images_dir,4186.png,303.tiff,6392.0,1761.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4186.png
4210.png,,csv_image_not_present_in_images_dir,4210.png,303.tiff,30.0,3558.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,NMF,,NMF,4210.png
4218.png,,csv_image_not_present_in_images_dir,4218.png,303.tiff,60.0,1360.0,canine cutaneous mast cell tumor,Aperio CS2,FU Berlin,Canine,NMF,AMF,AMF,AMF,4218.png
