image_id,image_path,final_label,numeric_label,status,error_message,number_of_components,tissue_area,chromatin_area,warning_empty_mask,warning_too_large_mask,warning_tissue_almost_empty,warning_too_many_components,warning_selected_empty_but_raw_not_empty,warning_central_fallback_used
40.png,data/raw/images/40.png,NMF,0,success,,21,16377,847,False,False,False,True,False,False
41.png,data/raw/images/41.png,NMF,0,success,,18,15481,1938,False,False,False,False,False,False
42.png,data/raw/images/42.png,AMF,1,success,,19,16372,691,False,False,False,False,False,False
43.png,data/raw/images/43.png,NMF,0,success,,14,16324,1459,False,False,False,False,False,False
44.png,data/raw/images/44.png,NMF,0,success,,13,16355,722,False,False,False,False,False,False
45.png,data/raw/images/45.png,NMF,0,success,,17,15642,1154,False,False,False,False,False,False
46.png,data/raw/images/46.png,NMF,0,success,,11,15864,973,False,False,False,False,False,False
47.png,data/raw/images/47.png,NMF,0,success,,8,15753,1204,False,False,False,False,False,False
48.png,data/raw/images/48.png,NMF,0,success,,14,16339,1386,False,False,False,False,False,False
49.png,data/raw/images/49.png,NMF,0,success,,13,15719,1633,False,False,False,False,False,False
50.png,data/raw/images/50.png,NMF,0,success,,8,16320,804,False,False,False,False,False,False
51.png,data/raw/images/51.png,NMF,0,success,,23,15535,1143,False,False,False,True,False,False
52.png,data/raw/images/52.png,NMF,0,success,,16,16320,1347,False,False,False,False,False,False
53.png,data/raw/images/53.png,NMF,0,success,,15,15702,1522,False,False,False,False,False,False
54.png,data/raw/images/54.png,NMF,0,success,,17,15931,1639,False,False,False,False,False,False
55.png,data/raw/images/55.png,NMF,0,success,,5,15754,719,False,False,False,False,False,False
56.png,data/raw/images/56.png,NMF,0,success,,4,15783,1563,False,False,False,False,False,False
57.png,data/raw/images/57.png,AMF,1,success,,14,16045,1328,False,False,False,False,False,False
58.png,data/raw/images/58.png,NMF,0,success,,5,16157,946,False,False,False,False,False,False
59.png,data/raw/images/59.png,NMF,0,success,,11,16051,987,False,False,False,False,False,False
60.png,data/raw/images/60.png,NMF,0,success,,11,16239,1022,False,False,False,False,False,False
61.png,data/raw/images/61.png,NMF,0,success,,5,16000,1185,False,False,False,False,False,False
62.png,data/raw/images/62.png,AMF,1,success,,15,15940,1400,False,False,False,False,False,False
63.png,data/raw/images/63.png,NMF,0,success,,13,13728,822,False,False,False,False,False,False
64.png,data/raw/images/64.png,NMF,0,success,,8,15379,1399,False,False,False,False,False,False
65.png,data/raw/images/65.png,NMF,0,success,,7,15712,785,False,False,False,False,False,False
66.png,data/raw/images/66.png,AMF,1,success,,3,15999,485,False,False,False,False,False,False
67.png,data/raw/images/67.png,AMF,1,success,,13,16020,896,False,False,False,False,False,False
68.png,data/raw/images/68.png,NMF,0,success,,8,15270,1599,False,False,False,False,False,False
70.png,data/raw/images/70.png,NMF,0,success,,8,16220,1151,False,False,False,False,False,False
71.png,data/raw/images/71.png,AMF,1,success,,26,16136,1557,False,False,False,True,False,False
72.png,data/raw/images/72.png,NMF,0,success,,20,16072,1741,False,False,False,False,False,False
73.png,data/raw/images/73.png,NMF,0,success,,3,16067,745,False,False,False,False,False,False
74.png,data/raw/images/74.png,NMF,0,success,,17,15230,1134,False,False,False,False,False,False
75.png,data/raw/images/75.png,NMF,0,success,,9,16142,1176,False,False,False,False,False,False
77.png,data/raw/images/77.png,NMF,0,success,,7,15926,1034,False,False,False,False,False,False
78.png,data/raw/images/78.png,NMF,0,success,,12,15658,928,False,False,False,False,False,False
79.png,data/raw/images/79.png,NMF,0,success,,13,15529,994,False,False,False,False,False,False
80.png,data/raw/images/80.png,NMF,0,success,,9,15991,977,False,False,False,False,False,False
81.png,data/raw/images/81.png,NMF,0,success,,5,15088,748,False,False,False,False,False,False
82.png,data/raw/images/82.png,NMF,0,success,,12,16314,937,False,False,False,False,False,False
83.png,data/raw/images/83.png,NMF,0,success,,11,15583,927,False,False,False,False,False,False
84.png,data/raw/images/84.png,NMF,0,success,,6,16031,999,False,False,False,False,False,False
85.png,data/raw/images/85.png,NMF,0,success,,11,15908,1465,False,False,False,False,False,False
86.png,data/raw/images/86.png,NMF,0,success,,8,16135,1313,False,False,False,False,False,False
87.png,data/raw/images/87.png,NMF,0,success,,7,15815,1288,False,False,False,False,False,False
88.png,data/raw/images/88.png,NMF,0,success,,15,15469,1434,False,False,False,False,False,False
89.png,data/raw/images/89.png,AMF,1,success,,22,16306,1623,False,False,False,True,False,False
90.png,data/raw/images/90.png,NMF,0,success,,9,16335,999,False,False,False,False,False,False
91.png,data/raw/images/91.png,AMF,1,success,,26,16330,1937,False,False,False,True,False,False
92.png,data/raw/images/92.png,AMF,1,success,,14,16319,1148,False,False,False,False,False,False
93.png,data/raw/images/93.png,NMF,0,success,,20,14890,2138,False,False,False,False,False,False
94.png,data/raw/images/94.png,AMF,1,success,,10,15393,931,False,False,False,False,False,False
95.png,data/raw/images/95.png,NMF,0,success,,6,15931,1376,False,False,False,False,False,False
96.png,data/raw/images/96.png,AMF,1,success,,11,15965,1183,False,False,False,False,False,False
100.png,data/raw/images/100.png,AMF,1,success,,12,16384,1388,False,False,False,False,False,False
101.png,data/raw/images/101.png,NMF,0,success,,19,16352,1603,False,False,False,False,False,False
103.png,data/raw/images/103.png,NMF,0,success,,8,16381,829,False,False,False,False,False,False
104.png,data/raw/images/104.png,AMF,1,success,,14,15270,1107,False,False,False,False,False,False
105.png,data/raw/images/105.png,NMF,0,success,,4,14160,806,False,False,False,False,False,False
107.png,data/raw/images/107.png,NMF,0,success,,17,15937,2136,False,False,False,False,False,False
108.png,data/raw/images/108.png,NMF,0,success,,28,16236,1357,False,False,False,True,False,False
109.png,data/raw/images/109.png,NMF,0,success,,4,16051,927,False,False,False,False,False,False
110.png,data/raw/images/110.png,NMF,0,success,,13,16261,1569,False,False,False,False,False,False
111.png,data/raw/images/111.png,NMF,0,success,,20,16109,1465,False,False,False,False,False,False
112.png,data/raw/images/112.png,NMF,0,success,,15,16382,2298,False,False,False,False,False,False
113.png,data/raw/images/113.png,NMF,0,success,,26,16297,2027,False,False,False,True,False,False
114.png,data/raw/images/114.png,NMF,0,success,,20,16223,1611,False,False,False,False,False,False
115.png,data/raw/images/115.png,NMF,0,success,,8,16059,726,False,False,False,False,False,False
116.png,data/raw/images/116.png,NMF,0,success,,7,15561,944,False,False,False,False,False,False
117.png,data/raw/images/117.png,AMF,1,success,,21,16377,1008,False,False,False,True,False,False
118.png,data/raw/images/118.png,NMF,0,success,,18,16222,1986,False,False,False,False,False,False
119.png,data/raw/images/119.png,NMF,0,success,,15,15944,987,False,False,False,False,False,False
120.png,data/raw/images/120.png,NMF,0,success,,22,15651,1705,False,False,False,True,False,False
121.png,data/raw/images/121.png,NMF,0,success,,20,16145,1325,False,False,False,False,False,False
122.png,data/raw/images/122.png,NMF,0,success,,4,13157,580,False,False,False,False,False,False
123.png,data/raw/images/123.png,NMF,0,success,,26,16337,1175,False,False,False,True,False,False
124.png,data/raw/images/124.png,NMF,0,success,,9,14385,1410,False,False,False,False,False,False
125.png,data/raw/images/125.png,NMF,0,success,,6,12823,1682,False,False,False,False,False,False
126.png,data/raw/images/126.png,NMF,0,success,,12,15293,1256,False,False,False,False,False,False
127.png,data/raw/images/127.png,NMF,0,success,,8,13492,884,False,False,False,False,False,False
128.png,data/raw/images/128.png,NMF,0,success,,3,16115,1676,False,False,False,False,False,False
129.png,data/raw/images/129.png,NMF,0,success,,11,14314,1293,False,False,False,False,False,False
130.png,data/raw/images/130.png,NMF,0,success,,8,15773,1636,False,False,False,False,False,False
131.png,data/raw/images/131.png,NMF,0,success,,5,15583,1980,False,False,False,False,False,False
132.png,data/raw/images/132.png,AMF,1,success,,8,14623,1935,False,False,False,False,False,False
133.png,data/raw/images/133.png,NMF,0,success,,8,15980,1339,False,False,False,False,False,False
134.png,data/raw/images/134.png,AMF,1,success,,8,16270,2188,False,False,False,False,False,False
135.png,data/raw/images/135.png,NMF,0,success,,9,12557,1511,False,False,False,False,False,False
136.png,data/raw/images/136.png,NMF,0,success,,10,15848,1026,False,False,False,False,False,False
137.png,data/raw/images/137.png,NMF,0,success,,8,16335,2118,False,False,False,False,False,False
138.png,data/raw/images/138.png,NMF,0,success,,10,16077,1711,False,False,False,False,False,False
139.png,data/raw/images/139.png,AMF,1,success,,10,16335,1958,False,False,False,False,False,False
140.png,data/raw/images/140.png,NMF,0,success,,9,16071,1828,False,False,False,False,False,False
141.png,data/raw/images/141.png,NMF,0,success,,15,16309,1907,False,False,False,False,False,False
142.png,data/raw/images/142.png,NMF,0,success,,8,16382,1852,False,False,False,False,False,False
143.png,data/raw/images/143.png,NMF,0,success,,10,16382,1821,False,False,False,False,False,False
144.png,data/raw/images/144.png,NMF,0,success,,7,16379,1822,False,False,False,False,False,False
145.png,data/raw/images/145.png,AMF,1,success,,9,15836,1596,False,False,False,False,False,False
146.png,data/raw/images/146.png,AMF,1,success,,11,15414,1720,False,False,False,False,False,False
147.png,data/raw/images/147.png,NMF,0,success,,9,15051,1300,False,False,False,False,False,False
148.png,data/raw/images/148.png,AMF,1,success,,11,16261,2277,False,False,False,False,False,False
149.png,data/raw/images/149.png,NMF,0,success,,11,16310,2028,False,False,False,False,False,False
150.png,data/raw/images/150.png,AMF,1,success,,16,16305,1610,False,False,False,False,False,False
151.png,data/raw/images/151.png,NMF,0,success,,16,16246,1566,False,False,False,False,False,False
153.png,data/raw/images/153.png,NMF,0,success,,18,14291,1758,False,False,False,False,False,False
154.png,data/raw/images/154.png,NMF,0,success,,11,16326,1390,False,False,False,False,False,False
155.png,data/raw/images/155.png,NMF,0,success,,21,16293,2056,False,False,False,True,False,False
156.png,data/raw/images/156.png,NMF,0,success,,11,15547,2407,False,False,False,False,False,False
157.png,data/raw/images/157.png,NMF,0,success,,21,15284,1369,False,False,False,True,False,False
158.png,data/raw/images/158.png,NMF,0,success,,8,16276,1452,False,False,False,False,False,False
159.png,data/raw/images/159.png,AMF,1,success,,7,16380,752,False,False,False,False,False,False
160.png,data/raw/images/160.png,NMF,0,success,,15,16309,1457,False,False,False,False,False,False
161.png,data/raw/images/161.png,NMF,0,success,,3,14997,890,False,False,False,False,False,False
162.png,data/raw/images/162.png,NMF,0,success,,13,15759,1442,False,False,False,False,False,False
163.png,data/raw/images/163.png,NMF,0,success,,9,16384,1253,False,False,False,False,False,False
164.png,data/raw/images/164.png,AMF,1,success,,11,16382,1470,False,False,False,False,False,False
165.png,data/raw/images/165.png,NMF,0,success,,7,15280,1937,False,False,False,False,False,False
166.png,data/raw/images/166.png,NMF,0,success,,8,14985,1248,False,False,False,False,False,False
167.png,data/raw/images/167.png,NMF,0,success,,8,16191,1308,False,False,False,False,False,False
168.png,data/raw/images/168.png,AMF,1,success,,13,15970,1341,False,False,False,False,False,False
169.png,data/raw/images/169.png,AMF,1,success,,6,16209,1581,False,False,False,False,False,False
170.png,data/raw/images/170.png,AMF,1,success,,9,15364,1309,False,False,False,False,False,False
171.png,data/raw/images/171.png,NMF,0,success,,8,15925,885,False,False,False,False,False,False
172.png,data/raw/images/172.png,AMF,1,success,,9,16314,882,False,False,False,False,False,False
173.png,data/raw/images/173.png,NMF,0,success,,2,16227,857,False,False,False,False,False,False
175.png,data/raw/images/175.png,NMF,0,success,,4,16008,1358,False,False,False,False,False,False
176.png,data/raw/images/176.png,NMF,0,success,,3,13749,1354,False,False,False,False,False,False
177.png,data/raw/images/177.png,NMF,0,success,,4,14068,837,False,False,False,False,False,False
178.png,data/raw/images/178.png,NMF,0,success,,5,11051,1182,False,False,False,False,False,False
179.png,data/raw/images/179.png,NMF,0,success,,9,15806,1658,False,False,False,False,False,False
180.png,data/raw/images/180.png,NMF,0,success,,10,16004,1745,False,False,False,False,False,False
181.png,data/raw/images/181.png,NMF,0,success,,10,15920,1555,False,False,False,False,False,False
182.png,data/raw/images/182.png,AMF,1,success,,2,15325,611,False,False,False,False,False,False
183.png,data/raw/images/183.png,NMF,0,success,,15,15700,1919,False,False,False,False,False,False
184.png,data/raw/images/184.png,AMF,1,success,,10,14385,1593,False,False,False,False,False,False
185.png,data/raw/images/185.png,NMF,0,success,,6,16239,1446,False,False,False,False,False,False
186.png,data/raw/images/186.png,NMF,0,success,,21,15185,785,False,False,False,True,False,False
187.png,data/raw/images/187.png,NMF,0,success,,3,13183,646,False,False,False,False,False,False
188.png,data/raw/images/188.png,NMF,0,success,,4,16303,733,False,False,False,False,False,False
189.png,data/raw/images/189.png,NMF,0,success,,5,15583,704,False,False,False,False,False,False
190.png,data/raw/images/190.png,NMF,0,success,,7,15436,1242,False,False,False,False,False,False
191.png,data/raw/images/191.png,AMF,1,success,,4,14539,524,False,False,False,False,False,False
192.png,data/raw/images/192.png,AMF,1,success,,7,14925,662,False,False,False,False,False,False
193.png,data/raw/images/193.png,NMF,0,success,,12,16104,1420,False,False,False,False,False,False
194.png,data/raw/images/194.png,NMF,0,success,,8,15996,548,False,False,False,False,False,False
195.png,data/raw/images/195.png,NMF,0,success,,8,16294,1058,False,False,False,False,False,False
196.png,data/raw/images/196.png,AMF,1,success,,2,13226,551,False,False,False,False,False,False
197.png,data/raw/images/197.png,NMF,0,success,,9,11530,594,False,False,False,False,False,False
198.png,data/raw/images/198.png,NMF,0,success,,7,16133,392,False,False,False,False,False,False
199.png,data/raw/images/199.png,NMF,0,success,,7,14094,551,False,False,False,False,False,False
200.png,data/raw/images/200.png,NMF,0,success,,9,15494,672,False,False,False,False,False,False
201.png,data/raw/images/201.png,AMF,1,success,,16,15657,1670,False,False,False,False,False,False
202.png,data/raw/images/202.png,NMF,0,success,,27,16307,1918,False,False,False,True,False,False
203.png,data/raw/images/203.png,NMF,0,success,,22,15631,1372,False,False,False,True,False,False
204.png,data/raw/images/204.png,NMF,0,success,,17,14824,1429,False,False,False,False,False,False
205.png,data/raw/images/205.png,NMF,0,success,,24,16092,1486,False,False,False,True,False,False
206.png,data/raw/images/206.png,NMF,0,success,,23,16154,1512,False,False,False,True,False,False
207.png,data/raw/images/207.png,NMF,0,success,,13,11588,2402,False,False,False,False,False,False
208.png,data/raw/images/208.png,NMF,0,success,,11,12186,1768,False,False,False,False,False,False
209.png,data/raw/images/209.png,NMF,0,success,,11,10662,518,False,False,False,False,False,False
210.png,data/raw/images/210.png,NMF,0,success,,17,13979,732,False,False,False,False,False,False
211.png,data/raw/images/211.png,NMF,0,success,,8,12801,842,False,False,False,False,False,False
212.png,data/raw/images/212.png,NMF,0,success,,8,15940,1189,False,False,False,False,False,False
213.png,data/raw/images/213.png,NMF,0,success,,6,11245,326,False,False,False,False,False,False
214.png,data/raw/images/214.png,AMF,1,success,,7,15464,742,False,False,False,False,False,False
215.png,data/raw/images/215.png,NMF,0,success,,9,11912,1092,False,False,False,False,False,False
216.png,data/raw/images/216.png,AMF,1,success,,9,10528,621,False,False,False,False,False,False
217.png,data/raw/images/217.png,NMF,0,success,,4,15494,739,False,False,False,False,False,False
218.png,data/raw/images/218.png,NMF,0,success,,11,16046,1981,False,False,False,False,False,False
219.png,data/raw/images/219.png,NMF,0,success,,17,15347,1562,False,False,False,False,False,False
220.png,data/raw/images/220.png,NMF,0,success,,9,16248,1487,False,False,False,False,False,False
221.png,data/raw/images/221.png,NMF,0,success,,18,16071,1649,False,False,False,False,False,False
222.png,data/raw/images/222.png,NMF,0,success,,6,16358,730,False,False,False,False,False,False
223.png,data/raw/images/223.png,NMF,0,success,,2,16352,2148,False,False,False,False,False,False
224.png,data/raw/images/224.png,NMF,0,success,,26,16363,2177,False,False,False,True,False,False
225.png,data/raw/images/225.png,NMF,0,success,,19,15909,1328,False,False,False,False,False,False
226.png,data/raw/images/226.png,NMF,0,success,,17,16122,1019,False,False,False,False,False,False
227.png,data/raw/images/227.png,NMF,0,success,,22,16003,1366,False,False,False,True,False,False
228.png,data/raw/images/228.png,NMF,0,success,,8,16275,1414,False,False,False,False,False,False
229.png,data/raw/images/229.png,NMF,0,success,,15,16261,1278,False,False,False,False,False,False
230.png,data/raw/images/230.png,NMF,0,success,,12,16235,1155,False,False,False,False,False,False
231.png,data/raw/images/231.png,NMF,0,success,,11,15986,1450,False,False,False,False,False,False
232.png,data/raw/images/232.png,NMF,0,success,,5,16157,1061,False,False,False,False,False,False
233.png,data/raw/images/233.png,NMF,0,success,,17,16290,1039,False,False,False,False,False,False
234.png,data/raw/images/234.png,NMF,0,success,,11,16070,1361,False,False,False,False,False,False
235.png,data/raw/images/235.png,NMF,0,success,,16,16104,1104,False,False,False,False,False,False
236.png,data/raw/images/236.png,NMF,0,success,,7,15763,1103,False,False,False,False,False,False
237.png,data/raw/images/237.png,NMF,0,success,,8,16378,1235,False,False,False,False,False,False
238.png,data/raw/images/238.png,NMF,0,success,,17,16170,1423,False,False,False,False,False,False
239.png,data/raw/images/239.png,AMF,1,success,,8,15946,1191,False,False,False,False,False,False
241.png,data/raw/images/241.png,NMF,0,success,,10,16292,1150,False,False,False,False,False,False
242.png,data/raw/images/242.png,NMF,0,success,,9,16316,1836,False,False,False,False,False,False
243.png,data/raw/images/243.png,NMF,0,success,,23,15856,1613,False,False,False,True,False,False
244.png,data/raw/images/244.png,NMF,0,success,,8,15661,1144,False,False,False,False,False,False
245.png,data/raw/images/245.png,NMF,0,success,,12,16187,1869,False,False,False,False,False,False
246.png,data/raw/images/246.png,NMF,0,success,,15,16352,1615,False,False,False,False,False,False
247.png,data/raw/images/247.png,NMF,0,success,,11,16378,985,False,False,False,False,False,False
248.png,data/raw/images/248.png,NMF,0,success,,17,16260,1313,False,False,False,False,False,False
249.png,data/raw/images/249.png,NMF,0,success,,11,12369,1379,False,False,False,False,False,False
250.png,data/raw/images/250.png,NMF,0,success,,6,16198,1718,False,False,False,False,False,False
251.png,data/raw/images/251.png,NMF,0,success,,10,16022,1086,False,False,False,False,False,False
252.png,data/raw/images/252.png,NMF,0,success,,7,16076,1738,False,False,False,False,False,False
253.png,data/raw/images/253.png,NMF,0,success,,11,16240,1064,False,False,False,False,False,False
254.png,data/raw/images/254.png,NMF,0,success,,16,16221,1380,False,False,False,False,False,False
255.png,data/raw/images/255.png,NMF,0,success,,13,16299,763,False,False,False,False,False,False
256.png,data/raw/images/256.png,NMF,0,success,,9,16259,1163,False,False,False,False,False,False
257.png,data/raw/images/257.png,NMF,0,success,,13,16328,1938,False,False,False,False,False,False
258.png,data/raw/images/258.png,NMF,0,success,,16,16309,1349,False,False,False,False,False,False
259.png,data/raw/images/259.png,NMF,0,success,,9,16246,989,False,False,False,False,False,False
260.png,data/raw/images/260.png,NMF,0,success,,7,15281,1515,False,False,False,False,False,False
261.png,data/raw/images/261.png,NMF,0,success,,7,14849,1382,False,False,False,False,False,False
262.png,data/raw/images/262.png,NMF,0,success,,14,15944,1337,False,False,False,False,False,False
263.png,data/raw/images/263.png,NMF,0,success,,10,15829,1446,False,False,False,False,False,False
264.png,data/raw/images/264.png,NMF,0,success,,8,15876,672,False,False,False,False,False,False
265.png,data/raw/images/265.png,NMF,0,success,,16,13744,1506,False,False,False,False,False,False
266.png,data/raw/images/266.png,NMF,0,success,,17,15970,1409,False,False,False,False,False,False
267.png,data/raw/images/267.png,NMF,0,success,,14,15851,1759,False,False,False,False,False,False
268.png,data/raw/images/268.png,NMF,0,success,,17,15988,1335,False,False,False,False,False,False
269.png,data/raw/images/269.png,NMF,0,success,,10,16037,1443,False,False,False,False,False,False
270.png,data/raw/images/270.png,NMF,0,success,,21,16362,1394,False,False,False,True,False,False
271.png,data/raw/images/271.png,NMF,0,success,,19,16246,1306,False,False,False,False,False,False
272.png,data/raw/images/272.png,NMF,0,success,,13,16159,1008,False,False,False,False,False,False
273.png,data/raw/images/273.png,NMF,0,success,,17,16056,1965,False,False,False,False,False,False
274.png,data/raw/images/274.png,NMF,0,success,,14,16358,842,False,False,False,False,False,False
275.png,data/raw/images/275.png,NMF,0,success,,11,16345,1213,False,False,False,False,False,False
276.png,data/raw/images/276.png,NMF,0,success,,9,16324,957,False,False,False,False,False,False
277.png,data/raw/images/277.png,NMF,0,success,,19,16353,1665,False,False,False,False,False,False
278.png,data/raw/images/278.png,NMF,0,success,,20,15697,1398,False,False,False,False,False,False
279.png,data/raw/images/279.png,NMF,0,success,,9,15952,1725,False,False,False,False,False,False
280.png,data/raw/images/280.png,NMF,0,success,,19,15841,1102,False,False,False,False,False,False
281.png,data/raw/images/281.png,NMF,0,success,,12,15434,1226,False,False,False,False,False,False
282.png,data/raw/images/282.png,NMF,0,success,,6,15793,932,False,False,False,False,False,False
283.png,data/raw/images/283.png,NMF,0,success,,12,16181,1681,False,False,False,False,False,False
284.png,data/raw/images/284.png,NMF,0,success,,7,16383,752,False,False,False,False,False,False
285.png,data/raw/images/285.png,NMF,0,success,,17,16063,1157,False,False,False,False,False,False
286.png,data/raw/images/286.png,NMF,0,success,,10,16284,855,False,False,False,False,False,False
287.png,data/raw/images/287.png,NMF,0,success,,10,15730,1158,False,False,False,False,False,False
288.png,data/raw/images/288.png,NMF,0,success,,19,16240,1129,False,False,False,False,False,False
289.png,data/raw/images/289.png,NMF,0,success,,13,15833,1467,False,False,False,False,False,False
290.png,data/raw/images/290.png,NMF,0,success,,13,15978,1281,False,False,False,False,False,False
291.png,data/raw/images/291.png,NMF,0,success,,12,15969,1054,False,False,False,False,False,False
292.png,data/raw/images/292.png,NMF,0,success,,21,16053,1567,False,False,False,True,False,False
294.png,data/raw/images/294.png,NMF,0,success,,20,16218,1362,False,False,False,False,False,False
296.png,data/raw/images/296.png,NMF,0,success,,22,16005,1645,False,False,False,True,False,False
297.png,data/raw/images/297.png,NMF,0,success,,16,16213,1789,False,False,False,False,False,False
298.png,data/raw/images/298.png,NMF,0,success,,11,16349,1013,False,False,False,False,False,False
299.png,data/raw/images/299.png,NMF,0,success,,9,16038,1347,False,False,False,False,False,False
300.png,data/raw/images/300.png,NMF,0,success,,14,16193,1363,False,False,False,False,False,False
301.png,data/raw/images/301.png,NMF,0,success,,14,16189,1279,False,False,False,False,False,False
302.png,data/raw/images/302.png,NMF,0,success,,10,15891,1163,False,False,False,False,False,False
303.png,data/raw/images/303.png,NMF,0,success,,14,16019,892,False,False,False,False,False,False
304.png,data/raw/images/304.png,NMF,0,success,,16,16035,1212,False,False,False,False,False,False
305.png,data/raw/images/305.png,NMF,0,success,,13,16138,1381,False,False,False,False,False,False
306.png,data/raw/images/306.png,NMF,0,success,,10,15962,983,False,False,False,False,False,False
307.png,data/raw/images/307.png,NMF,0,success,,23,16241,1565,False,False,False,True,False,False
308.png,data/raw/images/308.png,NMF,0,success,,16,16231,1580,False,False,False,False,False,False
309.png,data/raw/images/309.png,AMF,1,success,,11,16060,1418,False,False,False,False,False,False
310.png,data/raw/images/310.png,NMF,0,success,,17,16139,2013,False,False,False,False,False,False
311.png,data/raw/images/311.png,AMF,1,success,,20,16261,1505,False,False,False,False,False,False
312.png,data/raw/images/312.png,NMF,0,success,,10,16110,1406,False,False,False,False,False,False
313.png,data/raw/images/313.png,NMF,0,success,,24,16046,1506,False,False,False,True,False,False
314.png,data/raw/images/314.png,NMF,0,success,,12,15408,1467,False,False,False,False,False,False
315.png,data/raw/images/315.png,NMF,0,success,,20,16313,2031,False,False,False,False,False,False
316.png,data/raw/images/316.png,AMF,1,success,,9,14305,1411,False,False,False,False,False,False
317.png,data/raw/images/317.png,NMF,0,success,,11,15987,1494,False,False,False,False,False,False
318.png,data/raw/images/318.png,NMF,0,success,,8,14648,1139,False,False,False,False,False,False
319.png,data/raw/images/319.png,AMF,1,success,,6,16340,726,False,False,False,False,False,False
320.png,data/raw/images/320.png,NMF,0,success,,12,16329,1164,False,False,False,False,False,False
321.png,data/raw/images/321.png,NMF,0,success,,17,15508,1412,False,False,False,False,False,False
322.png,data/raw/images/322.png,NMF,0,success,,16,16284,1784,False,False,False,False,False,False
323.png,data/raw/images/323.png,NMF,0,success,,5,11744,1265,False,False,False,False,False,False
324.png,data/raw/images/324.png,NMF,0,success,,12,16246,1115,False,False,False,False,False,False
325.png,data/raw/images/325.png,NMF,0,success,,12,16339,942,False,False,False,False,False,False
327.png,data/raw/images/327.png,NMF,0,success,,11,16362,1586,False,False,False,False,False,False
328.png,data/raw/images/328.png,NMF,0,success,,11,16050,1160,False,False,False,False,False,False
329.png,data/raw/images/329.png,AMF,1,success,,20,15867,1414,False,False,False,False,False,False
330.png,data/raw/images/330.png,NMF,0,success,,26,14858,2222,False,False,False,True,False,False
331.png,data/raw/images/331.png,NMF,0,success,,12,16384,1031,False,False,False,False,False,False
