image_id,filename,coordinateX,coordinateY,Tumor,Scanner,Origin,Species,expert1,expert2,expert3,majority,source_csv_image_id,image_id_for_processing,image_path,final_label,numeric_label
50.png,203.tiff,1353,4628,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,50.png,50.png,data/raw/images/50.png,NMF,0
51.png,203.tiff,4520,3655,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,51.png,51.png,data/raw/images/51.png,NMF,0
52.png,203.tiff,246,4102,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,52.png,52.png,data/raw/images/52.png,NMF,0
53.png,203.tiff,4004,4510,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,53.png,53.png,data/raw/images/53.png,NMF,0
54.png,203.tiff,1430,1392,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,54.png,54.png,data/raw/images/54.png,NMF,0
55.png,204.tiff,1654,510,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,55.png,55.png,data/raw/images/55.png,NMF,0
56.png,204.tiff,2641,832,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,56.png,56.png,data/raw/images/56.png,NMF,0
57.png,204.tiff,5267,970,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,57.png,57.png,data/raw/images/57.png,AMF,1
58.png,204.tiff,3453,1525,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,58.png,58.png,data/raw/images/58.png,NMF,0
59.png,204.tiff,3439,1350,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,59.png,59.png,data/raw/images/59.png,NMF,0
60.png,204.tiff,3755,1009,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,60.png,60.png,data/raw/images/60.png,NMF,0
61.png,204.tiff,4073,1004,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,61.png,61.png,data/raw/images/61.png,NMF,0
62.png,204.tiff,3029,1354,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,62.png,62.png,data/raw/images/62.png,AMF,1
63.png,204.tiff,5373,1531,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,63.png,63.png,data/raw/images/63.png,NMF,0
64.png,204.tiff,1671,2119,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,64.png,64.png,data/raw/images/64.png,NMF,0
65.png,204.tiff,1579,2716,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,65.png,65.png,data/raw/images/65.png,NMF,0
66.png,204.tiff,4886,1986,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,66.png,66.png,data/raw/images/66.png,AMF,1
67.png,204.tiff,4748,2280,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,67.png,67.png,data/raw/images/67.png,AMF,1
68.png,204.tiff,292,3576,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,68.png,68.png,data/raw/images/68.png,NMF,0
70.png,204.tiff,3507,3219,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,70.png,70.png,data/raw/images/70.png,NMF,0
71.png,204.tiff,5872,3378,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,71.png,71.png,data/raw/images/71.png,AMF,1
72.png,204.tiff,6482,3210,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,72.png,72.png,data/raw/images/72.png,NMF,0
73.png,204.tiff,2352,4430,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,73.png,73.png,data/raw/images/73.png,NMF,0
74.png,204.tiff,4347,3934,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,74.png,74.png,data/raw/images/74.png,NMF,0
75.png,204.tiff,4529,4217,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,75.png,75.png,data/raw/images/75.png,NMF,0
77.png,205.tiff,4992,1720,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,77.png,77.png,data/raw/images/77.png,NMF,0
78.png,205.tiff,1601,2279,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,78.png,78.png,data/raw/images/78.png,NMF,0
79.png,205.tiff,2141,1977,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,79.png,79.png,data/raw/images/79.png,NMF,0
80.png,205.tiff,5015,1982,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,80.png,80.png,data/raw/images/80.png,NMF,0
81.png,205.tiff,4722,2316,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,81.png,81.png,data/raw/images/81.png,NMF,0
82.png,205.tiff,341,3165,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,82.png,82.png,data/raw/images/82.png,NMF,0
83.png,205.tiff,2607,3066,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,83.png,83.png,data/raw/images/83.png,NMF,0
84.png,205.tiff,3787,2836,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,84.png,84.png,data/raw/images/84.png,NMF,0
85.png,205.tiff,4758,2959,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF,85.png,85.png,data/raw/images/85.png,NMF,0
86.png,205.tiff,4865,3072,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,86.png,86.png,data/raw/images/86.png,NMF,0
87.png,205.tiff,4576,2903,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,87.png,87.png,data/raw/images/87.png,NMF,0
88.png,205.tiff,5798,3604,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,88.png,88.png,data/raw/images/88.png,NMF,0
89.png,205.tiff,974,3930,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,89.png,89.png,data/raw/images/89.png,AMF,1
90.png,205.tiff,997,3972,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,90.png,90.png,data/raw/images/90.png,NMF,0
91.png,205.tiff,531,4264,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,91.png,91.png,data/raw/images/91.png,AMF,1
92.png,205.tiff,2101,3794,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,AMF,AMF,92.png,92.png,data/raw/images/92.png,AMF,1
93.png,205.tiff,2681,4106,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,93.png,93.png,data/raw/images/93.png,NMF,0
94.png,205.tiff,3153,3939,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,94.png,94.png,data/raw/images/94.png,AMF,1
95.png,205.tiff,3403,4366,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,95.png,95.png,data/raw/images/95.png,NMF,0
96.png,205.tiff,6249,3733,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,96.png,96.png,data/raw/images/96.png,AMF,1
100.png,206.tiff,372,122,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,100.png,100.png,data/raw/images/100.png,AMF,1
101.png,206.tiff,4260,909,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,101.png,101.png,data/raw/images/101.png,NMF,0
103.png,206.tiff,4648,798,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,103.png,103.png,data/raw/images/103.png,NMF,0
104.png,206.tiff,4116,2960,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,104.png,104.png,data/raw/images/104.png,AMF,1
105.png,206.tiff,5102,2754,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,105.png,105.png,data/raw/images/105.png,NMF,0
107.png,206.tiff,2543,3196,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,107.png,107.png,data/raw/images/107.png,NMF,0
108.png,206.tiff,916,4439,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,108.png,108.png,data/raw/images/108.png,NMF,0
109.png,206.tiff,4300,4353,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,109.png,109.png,data/raw/images/109.png,NMF,0
110.png,206.tiff,3271,3242,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,110.png,110.png,data/raw/images/110.png,NMF,0
111.png,206.tiff,3116,3759,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,111.png,111.png,data/raw/images/111.png,NMF,0
112.png,206.tiff,1051,1853,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,112.png,112.png,data/raw/images/112.png,NMF,0
113.png,206.tiff,1323,3643,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,113.png,113.png,data/raw/images/113.png,NMF,0
114.png,206.tiff,4157,2324,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,114.png,114.png,data/raw/images/114.png,NMF,0
115.png,207.tiff,2128,2754,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,115.png,115.png,data/raw/images/115.png,NMF,0
116.png,207.tiff,5232,2255,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,116.png,116.png,data/raw/images/116.png,NMF,0
117.png,207.tiff,4578,4495,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,117.png,117.png,data/raw/images/117.png,AMF,1
118.png,208.tiff,4103,1054,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,118.png,118.png,data/raw/images/118.png,NMF,0
119.png,208.tiff,4106,1948,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,119.png,119.png,data/raw/images/119.png,NMF,0
120.png,208.tiff,3725,2480,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,120.png,120.png,data/raw/images/120.png,NMF,0
121.png,208.tiff,4402,2362,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,121.png,121.png,data/raw/images/121.png,NMF,0
122.png,208.tiff,4263,3608,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,122.png,122.png,data/raw/images/122.png,NMF,0
123.png,208.tiff,4652,3904,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,123.png,123.png,data/raw/images/123.png,NMF,0
124.png,208.tiff,4177,4358,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,124.png,124.png,data/raw/images/124.png,NMF,0
125.png,208.tiff,5388,1948,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,125.png,125.png,data/raw/images/125.png,NMF,0
126.png,208.tiff,2913,1997,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,126.png,126.png,data/raw/images/126.png,NMF,0
127.png,208.tiff,3762,4160,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,127.png,127.png,data/raw/images/127.png,NMF,0
128.png,208.tiff,4954,3998,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,128.png,128.png,data/raw/images/128.png,NMF,0
129.png,208.tiff,3694,1285,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,129.png,129.png,data/raw/images/129.png,NMF,0
130.png,209.tiff,4356,188,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,130.png,130.png,data/raw/images/130.png,NMF,0
131.png,209.tiff,2330,2051,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,131.png,131.png,data/raw/images/131.png,NMF,0
132.png,209.tiff,3320,1991,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,132.png,132.png,data/raw/images/132.png,AMF,1
133.png,209.tiff,1593,3339,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,133.png,133.png,data/raw/images/133.png,NMF,0
134.png,209.tiff,5009,3495,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,134.png,134.png,data/raw/images/134.png,AMF,1
135.png,209.tiff,4900,3517,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,NMF,NMF,NMF,135.png,135.png,data/raw/images/135.png,NMF,0
136.png,209.tiff,4411,4558,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,136.png,136.png,data/raw/images/136.png,NMF,0
137.png,209.tiff,1249,2533,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,137.png,137.png,data/raw/images/137.png,NMF,0
138.png,209.tiff,980,4328,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,138.png,138.png,data/raw/images/138.png,NMF,0
139.png,209.tiff,1896,2479,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,139.png,139.png,data/raw/images/139.png,AMF,1
140.png,209.tiff,2745,1747,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,140.png,140.png,data/raw/images/140.png,NMF,0
141.png,209.tiff,1168,2827,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,141.png,141.png,data/raw/images/141.png,NMF,0
142.png,209.tiff,3652,4291,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,142.png,142.png,data/raw/images/142.png,NMF,0
143.png,209.tiff,3003,1707,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,143.png,143.png,data/raw/images/143.png,NMF,0
144.png,209.tiff,1413,4460,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,144.png,144.png,data/raw/images/144.png,NMF,0
145.png,209.tiff,509,2854,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,145.png,145.png,data/raw/images/145.png,AMF,1
146.png,209.tiff,1150,2316,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,146.png,146.png,data/raw/images/146.png,AMF,1
147.png,209.tiff,2248,4371,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,147.png,147.png,data/raw/images/147.png,NMF,0
148.png,209.tiff,1165,2775,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,148.png,148.png,data/raw/images/148.png,AMF,1
149.png,209.tiff,5859,3077,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,149.png,149.png,data/raw/images/149.png,NMF,0
150.png,212.tiff,844,817,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,150.png,150.png,data/raw/images/150.png,AMF,1
151.png,212.tiff,576,306,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,151.png,151.png,data/raw/images/151.png,NMF,0
153.png,212.tiff,4604,265,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,153.png,153.png,data/raw/images/153.png,NMF,0
154.png,212.tiff,5538,613,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,154.png,154.png,data/raw/images/154.png,NMF,0
155.png,212.tiff,6101,748,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,155.png,155.png,data/raw/images/155.png,NMF,0
156.png,212.tiff,185,919,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,156.png,156.png,data/raw/images/156.png,NMF,0
157.png,212.tiff,5293,1412,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,157.png,157.png,data/raw/images/157.png,NMF,0
158.png,212.tiff,1844,2488,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,158.png,158.png,data/raw/images/158.png,NMF,0
159.png,212.tiff,2527,2476,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,159.png,159.png,data/raw/images/159.png,AMF,1
160.png,212.tiff,3452,1946,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,160.png,160.png,data/raw/images/160.png,NMF,0
161.png,212.tiff,1143,3005,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,161.png,161.png,data/raw/images/161.png,NMF,0
162.png,212.tiff,1027,3096,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,162.png,162.png,data/raw/images/162.png,NMF,0
163.png,212.tiff,1377,2851,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,163.png,163.png,data/raw/images/163.png,NMF,0
164.png,212.tiff,2374,3301,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,164.png,164.png,data/raw/images/164.png,AMF,1
165.png,212.tiff,2707,2834,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,165.png,165.png,data/raw/images/165.png,NMF,0
166.png,212.tiff,3594,3225,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,166.png,166.png,data/raw/images/166.png,NMF,0
167.png,212.tiff,5559,3189,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,167.png,167.png,data/raw/images/167.png,NMF,0
168.png,212.tiff,1124,4057,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,168.png,168.png,data/raw/images/168.png,AMF,1
169.png,212.tiff,2925,4483,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,169.png,169.png,data/raw/images/169.png,AMF,1
170.png,212.tiff,2521,3887,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,170.png,170.png,data/raw/images/170.png,AMF,1
171.png,212.tiff,3424,3610,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,171.png,171.png,data/raw/images/171.png,NMF,0
172.png,212.tiff,4436,4059,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,172.png,172.png,data/raw/images/172.png,AMF,1
173.png,212.tiff,6213,4162,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,173.png,173.png,data/raw/images/173.png,NMF,0
175.png,212.tiff,6282,3851,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,175.png,175.png,data/raw/images/175.png,NMF,0
176.png,213.tiff,3558,1815,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,176.png,176.png,data/raw/images/176.png,NMF,0
177.png,213.tiff,2975,1533,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,177.png,177.png,data/raw/images/177.png,NMF,0
178.png,213.tiff,4900,1436,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,NMF,NMF,178.png,178.png,data/raw/images/178.png,NMF,0
179.png,213.tiff,4884,2191,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,179.png,179.png,data/raw/images/179.png,NMF,0
180.png,213.tiff,5829,2019,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,180.png,180.png,data/raw/images/180.png,NMF,0
181.png,213.tiff,5827,1959,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,181.png,181.png,data/raw/images/181.png,NMF,0
182.png,213.tiff,5416,3154,canine lung cancer,3D Histech,VMU Vienna,Canine,AMF,AMF,,AMF,182.png,182.png,data/raw/images/182.png,AMF,1
183.png,213.tiff,1936,3785,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,NMF,,NMF,183.png,183.png,data/raw/images/183.png,NMF,0
184.png,213.tiff,1904,4731,canine lung cancer,3D Histech,VMU Vienna,Canine,NMF,AMF,AMF,AMF,184.png,184.png,data/raw/images/184.png,AMF,1
